two_theta,intensity
1.000000000000000000e+01,2.698333747558151785e+01
1.014028056112224441e+01,2.029742444736627505e+01
1.028056112224448881e+01,1.836453674414867621e+01
1.042084168336673322e+01,1.855169348384790240e+01
1.056112224448897763e+01,2.595533060264718372e+01
1.070140280561122204e+01,1.355252452024107690e+01
1.084168336673346644e+01,1.801295742590531646e+01
1.098196392785571085e+01,2.251851831149326699e+01
1.112224448897795526e+01,1.973966346346117007e+01
1.126252505010019966e+01,2.626017776019371297e+01
1.140280561122244407e+01,1.490312917625346500e+01
1.154308617234469025e+01,1.876909595310916501e+01
1.168336673346693289e+01,1.813730953129093493e+01
1.182364729458917907e+01,2.212269527539837455e+01
1.196392785571142348e+01,2.084389831151649730e+01
1.210420841683366788e+01,1.502440746910160385e+01
1.224448897795591229e+01,1.639608380007859623e+01
1.238476953907815670e+01,1.698939238139681507e+01
1.252505010020040110e+01,1.698465938282991061e+01
1.266533066132264551e+01,2.069103087199954061e+01
1.280561122244488992e+01,2.210580890547712940e+01
1.294589178356713433e+01,2.404577518889411536e+01
1.308617234468937873e+01,2.014001759803259262e+01
1.322645290581162314e+01,1.793776347766386436e+01
1.336673346693386755e+01,1.396651764443778276e+01
1.350701402805611195e+01,1.374860196906874421e+01
1.364729458917835636e+01,1.789744094081321180e+01
1.378757515030060077e+01,2.277378825892749603e+01
1.392785571142284518e+01,1.675746347195435249e+01
1.406813627254508958e+01,1.715716212767724613e+01
1.420841683366733577e+01,2.343348614734815172e+01
1.434869739478957840e+01,1.722386697753657714e+01
1.448897795591182458e+01,2.143377496909582902e+01
1.462925851703406721e+01,1.701262001060280227e+01
1.476953907815631339e+01,1.609704376353139210e+01
1.490981963927855602e+01,1.690335065164824968e+01
1.505010020040080221e+01,2.103977607507761149e+01
1.519038076152304484e+01,2.631535134955196042e+01
1.533066132264529102e+01,1.810609655563043319e+01
1.547094188376753543e+01,1.711019456114090431e+01
1.561122244488977984e+01,8.275098872888435153e+00
1.575150300601202424e+01,1.471936063387938276e+01
1.589178356713426865e+01,1.492914267694141373e+01
1.603206412825651483e+01,2.088475766930816135e+01
1.617234468937875747e+01,1.855339549052590442e+01
1.631262525050100010e+01,1.436001490192844088e+01
1.645290581162324628e+01,3.014190894324016057e+01
1.659318637274549246e+01,2.284472255413360031e+01
1.673346693386773509e+01,1.585329226639464828e+01
1.687374749498998128e+01,2.565335493920765231e+01
1.701402805611222391e+01,2.109926367837154260e+01
1.715430861723447009e+01,2.478352599507846321e+01
1.729458917835671272e+01,1.595805681364532802e+01
1.743486973947895891e+01,1.801731093327417099e+01
1.757515030060120154e+01,1.473569890896983203e+01
1.771543086172344772e+01,2.078763618954593895e+01
1.785571142284569035e+01,1.824081312011672296e+01
1.799599198396793653e+01,1.257555638839915346e+01
1.813627254509017916e+01,1.597233543725407934e+01
1.827655310621242535e+01,8.415128775873288447e+00
1.841683366733467153e+01,1.905394765975700722e+01
1.855711422845691416e+01,2.441721725818352695e+01
1.869739478957915679e+01,1.834200558236423007e+01
1.883767535070140298e+01,2.042442733458006643e+01
1.897795591182364916e+01,1.670372203640677711e+01
1.911823647294589179e+01,2.182843543259918562e+01
1.925851703406813442e+01,1.409940835097679468e+01
1.939879759519038060e+01,2.456344837470208731e+01
1.953907815631262679e+01,1.566419683951796671e+01
1.967935871743486942e+01,1.534964549430475600e+01
1.981963927855711205e+01,2.244903518398781017e+01
1.995991983967935823e+01,1.877819036738266689e+01
2.010020040080160442e+01,2.545655959353746667e+01
2.024048096192384705e+01,1.593564271033241297e+01
2.038076152304608968e+01,1.598912592515964981e+01
2.052104208416833586e+01,2.567414187618383181e+01
2.066132264529058205e+01,1.746535767672292749e+01
2.080160320641282823e+01,1.910973883510406779e+01
2.094188376753507086e+01,1.674400815185273927e+01
2.108216432865731349e+01,2.009528013828818516e+01
2.122244488977955967e+01,2.202072643392215312e+01
2.136272545090180586e+01,1.889990702070655004e+01
2.150300601202404849e+01,1.417371582144317443e+01
2.164328657314629112e+01,2.004566946352933954e+01
2.178356713426853730e+01,1.735033819597806115e+01
2.192384769539078349e+01,1.915231885995243744e+01
2.206412825651302612e+01,2.166322463057287351e+01
2.220440881763526875e+01,1.718624017224325584e+01
