two_theta,intensity
1.000000000000000000e+01,1.158269511927895756e+01
1.014028056112224441e+01,9.295903108194153219e+00
1.028056112224448881e+01,1.329557444343456751e+01
1.042084168336673322e+01,1.239088459697798150e+01
1.056112224448897763e+01,1.340813441592248800e+01
1.070140280561122204e+01,1.133745736233913881e+01
1.084168336673346644e+01,1.225269163753179313e+01
1.098196392785571085e+01,1.765669944336797670e+01
1.112224448897795526e+01,1.061657667564075247e+01
1.126252505010019966e+01,1.415595362333834650e+01
1.140280561122244407e+01,1.143316787100866705e+01
1.154308617234469025e+01,1.599783100529867141e+01
1.168336673346693289e+01,1.334175959200922712e+01
1.182364729458917907e+01,1.020901653280501087e+01
1.196392785571142348e+01,7.118330284733914048e+00
1.210420841683366788e+01,1.137126203163278149e+01
1.224448897795591229e+01,1.154641239198047309e+01
1.238476953907815670e+01,1.209070728744921652e+01
1.252505010020040110e+01,1.353557046176189083e+01
1.266533066132264551e+01,1.584389127690524290e+01
1.280561122244488992e+01,1.997667211751650029e+01
1.294589178356713433e+01,1.953643146507781836e+01
1.308617234468937873e+01,1.887002920703678654e+01
1.322645290581162314e+01,2.063060603330616161e+01
1.336673346693386755e+01,9.984487742745292493e+00
1.350701402805611195e+01,1.055246702648646462e+01
1.364729458917835636e+01,1.109934535996018568e+01
1.378757515030060077e+01,1.541337447125040683e+01
1.392785571142284518e+01,1.226458100632787840e+01
1.406813627254508958e+01,1.128762335506958792e+01
1.420841683366733577e+01,1.612930988329932092e+01
1.434869739478957840e+01,1.615563040162372843e+00
1.448897795591182458e+01,1.306351338644753568e+01
1.462925851703406721e+01,1.614669577032154280e+01
1.476953907815631339e+01,1.230682465617817911e+01
1.490981963927855602e+01,2.051052738707731038e+01
1.505010020040080221e+01,1.521689627019824798e+01
1.519038076152304484e+01,2.125174216632380464e+01
1.533066132264529102e+01,1.488493085251884196e+01
1.547094188376753543e+01,1.552175456561794853e+01
1.561122244488977984e+01,1.342546619521866269e+01
1.575150300601202424e+01,1.464085268107104554e+01
1.589178356713426865e+01,1.628131740957578799e+01
1.603206412825651483e+01,1.024656705591672079e+01
1.617234468937875747e+01,1.569990427722860460e+01
1.631262525050100010e+01,9.762697141175937787e+00
1.645290581162324628e+01,1.144627309329283449e+01
1.659318637274549246e+01,1.079464487411535067e+01
1.673346693386773509e+01,1.348715754763006380e+01
1.687374749498998128e+01,1.026289826718926079e+01
1.701402805611222391e+01,1.303050371341550573e+01
1.715430861723447009e+01,8.700483955373011113e+00
1.729458917835671272e+01,1.292958249563289819e+01
1.743486973947895891e+01,1.360722117243966345e+01
1.757515030060120154e+01,1.366881317431800724e+01
1.771543086172344772e+01,1.326976145969066678e+01
1.785571142284569035e+01,8.610619371432097324e+00
1.799599198396793653e+01,1.153506646031186911e+01
1.813627254509017916e+01,1.790435971824306094e+01
1.827655310621242535e+01,3.410724778344064845e+00
1.841683366733467153e+01,1.279325976552823541e+01
1.855711422845691416e+01,1.420896692833214026e+01
1.869739478957915679e+01,1.299197579997156637e+01
1.883767535070140298e+01,1.036384701891540061e+01
1.897795591182364916e+01,1.499538925612174367e+01
1.911823647294589179e+01,1.912728800525901107e+01
1.925851703406813442e+01,1.584698051455095147e+01
1.939879759519038060e+01,1.673529842736855855e+01
1.953907815631262679e+01,1.433449277835119062e+01
1.967935871743486942e+01,1.603372144249749098e+01
1.981963927855711205e+01,1.009400334899900642e+01
1.995991983967935823e+01,1.352644842235138256e+01
2.010020040080160442e+01,2.007919629012535978e+01
2.024048096192384705e+01,6.033571471146150778e+00
2.038076152304608968e+01,1.578536521186787311e+01
2.052104208416833586e+01,1.228724121685491433e+01
2.066132264529058205e+01,6.165612864778215574e+00
2.080160320641282823e+01,1.821865290407234994e+01
2.094188376753507086e+01,1.789629085215796778e+01
2.108216432865731349e+01,1.503483640572863145e+01
2.122244488977955967e+01,1.416270091586612878e+01
2.136272545090180586e+01,1.789965169865643446e+01
2.150300601202404849e+01,1.568069167027859656e+01
2.164328657314629112e+01,7.175601171116610111e+00
2.178356713426853730e+01,5.655764880838052733e+00
2.192384769539078349e+01,1.034070291952394527e+01
2.206412825651302612e+01,1.289608443714293884e+01
2.220440881763526875e+01,1.193204320598762180e+01
2.234468937875751493e+01,1.077677984240861342e+01
2.248496993987976111e+01,1.444493585190943108e+01
2.262525050100200374e+01,1.399933588005027119e+01
2.276553106212424638e+01,1.386889421423540014e+01
2.290581162324649256e+01,1.623111631341019745e+01
2.304609218436873874e+01,2.240925919064248006e+01
2.318637274549098137e+01,9.654356431006409167e+00
2.332665330661322400e+01,3.747218320631898081e+00
2.346693386773547019e+01,9.403173898489427529e+00
2.360721442885771637e+01,1.865875267865126119e+01
2.374749498997996255e+01,1.257944368508723088e+01
2.388777555110220518e+01,1.284000503723030917e+01
2.402805611222444782e+01,1.561880273920150231e+01
2.416833667334669400e+01,9.842675441628419009e+00
2.430861723446894018e+01,1.568350114176864807e+01
2.444889779559118281e+01,1.397789502620903512e+01
2.458917835671342544e+01,1.947450174903448783e+01
2.472945891783567163e+01,1.419249728030636248e+01
2.486973947895791781e+01,2.016862094153380980e+01
