q,intensity
1.000000000000000021e-02,4.180324552684165537e+06
1.246231155778894546e-02,4.175935423364150804e+06
1.492462311557788898e-02,4.170181101526545826e+06
1.738693467336683424e-02,4.163659197288431693e+06
1.984924623115577949e-02,4.156073296916890889e+06
2.231155778894472475e-02,4.147337359978254884e+06
2.477386934673366653e-02,4.137544263931115624e+06
2.723618090452261525e-02,4.127067831628389657e+06
2.969849246231155704e-02,4.115589132915229537e+06
3.216080402010050576e-02,4.102850802291109227e+06
3.462311557788944755e-02,4.089356075583164580e+06
3.708542713567839627e-02,4.074984292484895792e+06
3.954773869346733806e-02,4.059473796665859409e+06
4.201005025125628678e-02,4.043071819969176780e+06
4.447236180904522856e-02,4.025796764691822231e+06
4.693467336683417729e-02,4.007694439502336551e+06
4.939698492462311907e-02,3.988514638452784158e+06
5.185929648241206086e-02,3.968504241200543940e+06
5.432160804020100958e-02,3.947848740644503385e+06
5.678391959798995137e-02,3.925988431503324769e+06
5.924623115577890009e-02,3.903344462986050174e+06
6.170854271356784188e-02,3.879883814288107213e+06
6.417085427135678366e-02,3.855780293515264057e+06
6.663316582914573238e-02,3.830648142403159756e+06
6.909547738693466723e-02,3.804879230933553074e+06
7.155778894472361595e-02,3.778144390543298330e+06
7.402010050251256468e-02,3.750775084841487929e+06
7.648241206030149952e-02,3.722632006066064350e+06
7.894472361809044825e-02,3.693644826445565093e+06
8.140703517587939697e-02,3.664073895763046108e+06
8.386934673366834569e-02,3.633773709848712664e+06
8.633165829145728054e-02,3.602898278007849120e+06
8.879396984924622926e-02,3.571232564884474035e+06
9.125628140703517799e-02,3.538809751740352716e+06
9.371859296482411283e-02,3.506008757360588759e+06
9.618090452261306156e-02,3.472443490048935637e+06
9.864321608040201028e-02,3.438228814555339981e+06
1.011055276381909590e-01,3.403629199294784106e+06
1.035678391959798939e-01,3.368563460498686880e+06
1.060301507537688426e-01,3.332864444399002008e+06
1.084924623115577913e-01,3.296506038566807751e+06
1.109547738693467261e-01,3.259945611734227743e+06
1.134170854271356749e-01,3.222677404715363402e+06
1.158793969849246236e-01,3.184981457859826274e+06
1.183417085427135723e-01,3.146973007009061053e+06
1.208040201005025072e-01,3.108610524330087006e+06
1.232663316582914559e-01,3.069923072521568276e+06
1.257286432160804046e-01,3.030582966360497754e+06
1.281909547738693533e-01,2.991102044554978143e+06
1.306532663316583021e-01,2.951258201491893269e+06
1.331155778894472508e-01,2.911139425003629178e+06
1.355778894472361995e-01,2.870782084293994121e+06
1.380402010050251482e-01,2.830018081809870899e+06
1.405025125628140970e-01,2.789164400451230817e+06
1.429648241206030179e-01,2.748175072528651450e+06
1.454271356783919666e-01,2.706880197390654124e+06
1.478894472361809154e-01,2.665467882339813747e+06
1.503517587939698641e-01,2.623943674603539519e+06
1.528140703517588128e-01,2.582236750167550519e+06
1.552763819095477615e-01,2.540398144359534141e+06
1.577386934673367103e-01,2.498305141411224846e+06
1.602010050251256312e-01,2.456430593912486918e+06
1.626633165829145800e-01,2.414453630431431811e+06
1.651256281407035287e-01,2.372475750399627723e+06
1.675879396984924774e-01,2.330401696448567789e+06
1.700502512562814261e-01,2.288555082397791557e+06
1.725125628140703749e-01,2.246494983362126630e+06
1.749748743718593236e-01,2.204756083616074640e+06
1.774371859296482445e-01,2.162784957066608127e+06
1.798994974874371933e-01,2.121261080285058822e+06
1.823618090452261420e-01,2.079613659021780128e+06
1.848241206030150907e-01,2.038029320674950490e+06
1.872864321608040394e-01,1.996921322990808403e+06
1.897487437185929882e-01,1.955633637675300241e+06
1.922110552763819369e-01,1.914749722204346908e+06
1.946733668341708579e-01,1.874149766953122802e+06
1.971356783919598066e-01,1.833517613515608478e+06
1.995979899497487553e-01,1.793304031735088676e+06
2.020603015075377040e-01,1.753239676749823615e+06
2.045226130653266527e-01,1.713358474562026560e+06
2.069849246231156015e-01,1.674027999667847995e+06
2.094472361809045502e-01,1.634817952670614468e+06
2.119095477386934712e-01,1.596031862154786475e+06
2.143718592964824199e-01,1.557560993619807763e+06
2.168341708542713686e-01,1.519360605487450026e+06
2.192964824120603173e-01,1.481581057928322349e+06
2.217587939698492661e-01,1.444143217785553541e+06
2.242211055276382148e-01,1.407059207612768980e+06
2.266834170854271635e-01,1.370380724748119479e+06
2.291457286432160845e-01,1.334041534486196470e+06
2.316080402010050332e-01,1.298348733206808800e+06
2.340703517587939819e-01,1.262959827993967338e+06
2.365326633165829306e-01,1.227906694210406858e+06
2.389949748743718794e-01,1.193467842585697537e+06
2.414572864321608281e-01,1.159328671960494481e+06
2.439195979899497768e-01,1.125888120663728099e+06
2.463819095477386978e-01,1.092738126333570806e+06
2.488442211055276465e-01,1.060050115726012737e+06
2.513065326633165952e-01,1.027961767121820361e+06
2.537688442211055162e-01,9.963385130940936506e+05
2.562311557788944927e-01,9.651889955722128507e+05
2.586934673366834136e-01,9.344717029826181242e+05
2.611557788944723901e-01,9.044324306141895941e+05
2.636180904522613111e-01,8.746980578412313480e+05
2.660804020100502876e-01,8.457574721988058882e+05
2.685427135678392085e-01,8.171903106761240633e+05
2.710050251256281850e-01,7.892372394445937825e+05
2.734673366834171060e-01,7.617333936221826589e+05
2.759296482412060270e-01,7.349498108902062522e+05
2.783919597989950034e-01,7.085015596188530326e+05
2.808542713567839244e-01,6.827330623208741890e+05
2.833165829145729009e-01,6.573791328346728114e+05
2.857788944723618219e-01,6.326378193840188906e+05
2.882412060301507983e-01,6.084559843094757525e+05
2.907035175879397193e-01,5.847707516827489017e+05
2.931658291457286403e-01,5.617127662336971844e+05
2.956281407035176167e-01,5.391787529627437470e+05
2.980904522613065377e-01,5.172241793291376671e+05
3.005527638190955142e-01,4.957116938270298997e+05
3.030150753768844352e-01,4.749130472761543351e+05
3.054773869346734116e-01,4.545453350708786165e+05
3.079396984924623326e-01,4.346357778152983519e+05
3.104020100502512536e-01,4.154077814576778328e+05
3.128643216080402301e-01,3.966615533761209808e+05
3.153266331658291510e-01,3.784070694208586938e+05
3.177889447236181275e-01,3.607550646008730982e+05
3.202512562814070485e-01,3.436159153701367904e+05
3.227135678391960250e-01,3.269311783235950861e+05
3.251758793969849459e-01,3.107925340155044105e+05
3.276381909547738669e-01,2.952306114690594259e+05
3.301005025125628434e-01,2.800441166854572366e+05
3.325628140703517643e-01,2.655223475525365211e+05
3.350251256281407408e-01,2.512971151960695570e+05
3.374874371859296618e-01,2.377000275920073036e+05
3.399497487437186383e-01,2.245544084839249845e+05
3.424120603015075592e-01,2.118667357800265308e+05
3.448743718592964802e-01,1.996367697619350511e+05
3.473366834170854567e-01,1.879107323943734227e+05
3.497989949748743777e-01,1.765535243627522723e+05
