q,intensity
1.000000000000000021e-02,5.333848047709656358e+08
1.246231155778894546e-02,5.249110428322595358e+08
1.492462311557788898e-02,5.147351835258197784e+08
1.738693467336683424e-02,5.029456203417453766e+08
1.984924623115577949e-02,4.896442951105320454e+08
2.231155778894472475e-02,4.749504028791998625e+08
2.477386934673366653e-02,4.589855459736743569e+08
2.723618090452261525e-02,4.418835799066190720e+08
2.969849246231155704e-02,4.237909614967073798e+08
3.216080402010050576e-02,4.048500616035280824e+08
3.462311557788944755e-02,3.852151514198594689e+08
3.708542713567839627e-02,3.650352552773270607e+08
3.954773869346733806e-02,3.444694659917935729e+08
4.201005025125628678e-02,3.236688211778606772e+08
4.447236180904522856e-02,3.027764690469231009e+08
4.693467336683417729e-02,2.819432121269241571e+08
4.939698492462311907e-02,2.613035042360425591e+08
5.185929648241206086e-02,2.409924345088128150e+08
5.432160804020100958e-02,2.211286211028860509e+08
5.678391959798995137e-02,2.018232347630687058e+08
5.924623115577890009e-02,1.831800158443427682e+08
6.170854271356784188e-02,1.652885590073827207e+08
6.417085427135678366e-02,1.482238543666932881e+08
6.663316582914573238e-02,1.320557969509146661e+08
6.909547738693466723e-02,1.168346741299049258e+08
7.155778894472361595e-02,1.026002276649271250e+08
7.402010050251256468e-02,8.938129367407436669e+07
7.648241206030149952e-02,7.719326475196501613e+07
7.894472361809044825e-02,6.604271242857461423e+07
8.140703517587939697e-02,5.591997115923501551e+07
8.386934673366834569e-02,4.680855566245748103e+07
8.633165829145728054e-02,3.868339259935632348e+07
8.879396984924622926e-02,3.150868527698042989e+07
9.125628140703517799e-02,2.524335666833369434e+07
9.371859296482411283e-02,1.983746984275333583e+07
9.618090452261306156e-02,1.523814323391961493e+07
9.864321608040201028e-02,1.138730997749312036e+07
1.011055276381909590e-01,8.223341012533272617e+06
1.035678391959798939e-01,5.683482655227880925e+06
1.060301507537688426e-01,3.703043295634663664e+06
1.084924623115577913e-01,2.218445480144729372e+06
1.109547738693467261e-01,1.166067602409224259e+06
1.134170854271356749e-01,4.845846347998925485e+05
1.158793969849246236e-01,1.145315760784509766e+05
1.183417085427135723e-01,4.951862166119230579e+01
1.208040201005025072e-01,8.874423943646404950e+04
1.232663316582914559e-01,3.323279464243529364e+05
1.257286432160804046e-01,6.868801967142563080e+05
1.281909547738693533e-01,1.113324015832096571e+06
1.306532663316583021e-01,1.577307580123004271e+06
1.331155778894472508e-01,2.049292713191377465e+06
1.355778894472361995e-01,2.504613220539635513e+06
1.380402010050251482e-01,2.923111508472794201e+06
1.405025125628140970e-01,3.289423741732640658e+06
1.429648241206030179e-01,3.592227162129412405e+06
1.454271356783919666e-01,3.824165872438800521e+06
1.478894472361809154e-01,3.981410730888118036e+06
1.503517587939698641e-01,4.062917191470930353e+06
1.528140703517588128e-01,4.071222911185889039e+06
1.552763819095477615e-01,4.010473446775488555e+06
1.577386934673367103e-01,3.886834213676474523e+06
1.602010050251256312e-01,3.707703767451927997e+06
1.626633165829145800e-01,3.482051420789696276e+06
1.651256281407035287e-01,3.219203783236225601e+06
1.675879396984924774e-01,2.928959964035410434e+06
1.700502512562814261e-01,2.620335944246748928e+06
1.725125628140703749e-01,2.303066481032440439e+06
1.749748743718593236e-01,1.985813969118924579e+06
1.774371859296482445e-01,1.676420406865789322e+06
1.798994974874371933e-01,1.381934833730412880e+06
1.823618090452261420e-01,1.108181233130379114e+06
1.848241206030150907e-01,8.599096445123645244e+05
1.872864321608040394e-01,6.409415433990310412e+05
1.897487437185929882e-01,4.535660991406100802e+05
1.922110552763819369e-01,2.994020237494017347e+05
1.946733668341708579e-01,1.784935213448302820e+05
1.971356783919598066e-01,9.023510645203577587e+04
1.995979899497487553e-01,3.299789441139550036e+04
2.020603015075377040e-01,4.501417978969407159e+03
2.045226130653266527e-01,1.816975295214028392e+03
2.069849246231156015e-01,2.154620495817382835e+04
2.094472361809045502e-01,5.994180225273106043e+04
2.119095477386934712e-01,1.131172679106228170e+05
2.143718592964824199e-01,1.770903539451221004e+05
2.168341708542713686e-01,2.478875263230986893e+05
2.192964824120603173e-01,3.217914328283875948e+05
2.217587939698492661e-01,3.954007502572305966e+05
2.242211055276382148e-01,4.654299714397207135e+05
2.266834170854271635e-01,5.294566073212327901e+05
2.291457286432160845e-01,5.849127348034549505e+05
2.316080402010050332e-01,6.302632758538300404e+05
2.340703517587939819e-01,6.643563421726255910e+05
2.365326633165829306e-01,6.861804925091459882e+05
2.389949748743718794e-01,6.955424697329701157e+05
2.414572864321608281e-01,6.926912627574431244e+05
2.439195979899497768e-01,6.782407928531822981e+05
2.463819095477386978e-01,6.529866880228709197e+05
2.488442211055276465e-01,6.183623742119669914e+05
2.513065326633165952e-01,5.756039706608474953e+05
2.537688442211055162e-01,5.265578544304053066e+05
2.562311557788944927e-01,4.727292069460017374e+05
2.586934673366834136e-01,4.162392275718110614e+05
2.611557788944723901e-01,3.585170601367038907e+05
2.636180904522613111e-01,3.012878196355102118e+05
2.660804020100502876e-01,2.462166003122997354e+05
2.685427135678392085e-01,1.946215308554396324e+05
2.710050251256281850e-01,1.477525158592893567e+05
2.734673366834171060e-01,1.063887926590703573e+05
2.759296482412060270e-01,7.145917259963336983e+04
2.783919597989950034e-01,4.339516901274742850e+04
2.808542713567839244e-01,2.237110859628372054e+04
2.833165829145729009e-01,8.370270232140781445e+03
2.857788944723618219e-01,1.195270993060706815e+03
2.882412060301507983e-01,4.246784215644743199e+02
2.907035175879397193e-01,5.447762972917335901e+03
2.931658291457286403e-01,1.552509687277976263e+04
2.956281407035176167e-01,2.981629074888620380e+04
2.980904522613065377e-01,4.736564285419150110e+04
3.005527638190955142e-01,6.723823188447392022e+04
3.030150753768844352e-01,8.846205178962099308e+04
3.054773869346734116e-01,1.100109866770467052e+05
3.079396984924623326e-01,1.311099846887776803e+05
3.104020100502512536e-01,1.508408195137275616e+05
3.128643216080402301e-01,1.685217422983806173e+05
3.153266331658291510e-01,1.835827662735197810e+05
3.177889447236181275e-01,1.955120725706209487e+05
3.202512562814070485e-01,2.040072762607398909e+05
3.227135678391960250e-01,2.088496986272742215e+05
3.251758793969849459e-01,2.099461023495345726e+05
3.276381909547738669e-01,2.074661246005374414e+05
3.301005025125628434e-01,2.015288134143906354e+05
3.325628140703517643e-01,1.923959017333338561e+05
3.350251256281407408e-01,1.805548476722571650e+05
3.374874371859296618e-01,1.664393195448767801e+05
3.399497487437186383e-01,1.504974992176298110e+05
3.424120603015075592e-01,1.333933764627942874e+05
3.448743718592964802e-01,1.155512208656245639e+05
3.473366834170854567e-01,9.765219096206074755e+04
3.497989949748743777e-01,8.017043839696934447e+04
3.522613065326633541e-01,6.353900571797683369e+04
3.547236180904522751e-01,4.829748436714361014e+04
3.571859296482412516e-01,3.474710229175307177e+04
3.596482412060301725e-01,2.321352050675018836e+04
3.621105527638190935e-01,1.391310993330324527e+04
3.645728643216080700e-01,6.964121899638701507e+03
3.670351758793969910e-01,2.415102787259450452e+03
3.694974874371859674e-01,2.340129319162793990e+02
3.719597989949748884e-01,3.160932071127269865e+02
3.744221105527638649e-01,2.479610764473742165e+03
3.768844221105527859e-01,6.498164150805820100e+03
3.793467336683417068e-01,1.207784230470007424e+04
3.818090452261306833e-01,1.891517179611963002e+04
3.842713567839196043e-01,2.664077543647012135e+04
3.867336683417085808e-01,3.491630381811309780e+04
3.891959798994975017e-01,4.338795248073790572e+04
3.916582914572864782e-01,5.175536793381880125e+04
3.941206030150753992e-01,5.962927637981482258e+04
3.965829145728643201e-01,6.674341262616055610e+04
3.990452261306532966e-01,7.286345663814026921e+04
4.015075376884422176e-01,7.778840509169345023e+04
4.039698492462311941e-01,8.137615586209614412e+04
4.064321608040201150e-01,8.353285347300361900e+04
4.088944723618090915e-01,8.421384328880050452e+04
4.113567839195980125e-01,8.341527530382531404e+04
4.138190954773869334e-01,8.126216039674083004e+04
4.162814070351759099e-01,7.774919595555796695e+04
4.187437185929648309e-01,7.312405273459800810e+04
4.212060301507538074e-01,6.748112458703851735e+04
4.236683417085427283e-01,6.114497287824755767e+04
4.261306532663317048e-01,5.420176483614965400e+04
4.285929648241206258e-01,4.693855406747174129e+04
4.310552763819095468e-01,3.962929626549455861e+04
4.335175879396985232e-01,3.245057813569865903e+04
4.359798994974874442e-01,2.564107357972337559e+04
4.384422110552764207e-01,1.935165876121141264e+04
4.409045226130653417e-01,1.378232087339036480e+04
4.433668341708543181e-01,9.053706869557587197e+03
4.458291457286432391e-01,5.262490446464406887e+03
4.482914572864321601e-01,2.483669256572532049e+03
4.507537688442211365e-01,7.373519482629204731e+02
4.532160804020100575e-01,2.295771791197527989e+01
4.556783919597990340e-01,2.953894804497727478e+02
4.581407035175879550e-01,1.480389071124930297e+03
4.606030150753769314e-01,3.485152909786557302e+03
4.630653266331658524e-01,6.187984320310461953e+03
4.655276381909547734e-01,9.452886762721365812e+03
4.679899497487437499e-01,1.310779459699224572e+04
4.704522613065326708e-01,1.702437069891573265e+04
