q,intensity
1.000000000000000021e-02,1.566743540575205348e+07
1.246231155778894546e-02,1.563052749575882591e+07
1.492462311557788898e-02,1.558616567408751138e+07
1.738693467336683424e-02,1.553356810695492290e+07
1.984924623115577949e-02,1.547345835428868979e+07
2.231155778894472475e-02,1.540581563150160387e+07
2.477386934673366653e-02,1.533069675879930705e+07
2.723618090452261525e-02,1.524725388463963568e+07
2.969849246231155704e-02,1.515729585963330790e+07
3.216080402010050576e-02,1.505924294412585907e+07
3.462311557788944755e-02,1.495457224739693291e+07
3.708542713567839627e-02,1.484264039293072559e+07
3.954773869346733806e-02,1.472420311283420026e+07
4.201005025125628678e-02,1.459889524595165066e+07
4.447236180904522856e-02,1.446636851160844229e+07
4.693467336683417729e-02,1.432858596881726570e+07
4.939698492462311907e-02,1.418328882946235128e+07
5.185929648241206086e-02,1.403290904666316696e+07
5.432160804020100958e-02,1.387608384425755590e+07
5.678391959798995137e-02,1.371430509352315590e+07
5.924623115577890009e-02,1.354601517769687064e+07
6.170854271356784188e-02,1.337317346260073408e+07
6.417085427135678366e-02,1.319542097440761141e+07
6.663316582914573238e-02,1.301245230867207050e+07
6.909547738693466723e-02,1.282509535124346800e+07
7.155778894472361595e-02,1.263315765976536833e+07
7.402010050251256468e-02,1.243744933054196648e+07
7.648241206030149952e-02,1.223740300788403675e+07
7.894472361809044825e-02,1.203415062843371741e+07
8.140703517587939697e-02,1.182690366340035014e+07
8.386934673366834569e-02,1.161718967085325904e+07
8.633165829145728054e-02,1.140399950517028570e+07
8.879396984924622926e-02,1.118819547980997525e+07
9.125628140703517799e-02,1.096972835933333077e+07
9.371859296482411283e-02,1.074955320856338181e+07
9.618090452261306156e-02,1.052769781294271536e+07
9.864321608040201028e-02,1.030348611603104323e+07
1.011055276381909590e-01,1.007816284243917838e+07
1.035678391959798939e-01,9.851259346518972889e+06
1.060301507537688426e-01,9.623527144972294569e+06
1.084924623115577913e-01,9.395248971833771095e+06
1.109547738693467261e-01,9.166381601432800293e+06
1.134170854271356749e-01,8.937173578110873699e+06
1.158793969849246236e-01,8.708271006364617497e+06
1.183417085427135723e-01,8.479314742094393820e+06
1.208040201005025072e-01,8.250808161045903340e+06
1.232663316582914559e-01,8.022866541620804928e+06
1.257286432160804046e-01,7.796092140074740164e+06
1.281909547738693533e-01,7.569785437965284102e+06
1.306532663316583021e-01,7.345640553816558793e+06
1.331155778894472508e-01,7.122212239910581149e+06
1.355778894472361995e-01,6.900939738503392786e+06
1.380402010050251482e-01,6.681176235878201202e+06
1.405025125628140970e-01,6.464167719887321815e+06
1.429648241206030179e-01,6.249022161085617729e+06
