q,intensity
1.000000000000000021e-02,2.370836956153755486e+08
1.246231155778894546e-02,2.346442387982412279e+08
1.492462311557788898e-02,2.316981578405640125e+08
1.738693467336683424e-02,2.282629181745931208e+08
1.984924623115577949e-02,2.243590694246141613e+08
2.231155778894472475e-02,2.200078214209792316e+08
2.477386934673366653e-02,2.152330375508980751e+08
2.723618090452261525e-02,2.100620495831710100e+08
2.969849246231155704e-02,2.045245571276329756e+08
3.216080402010050576e-02,1.986485988899861872e+08
3.462311557788944755e-02,1.924680717595189512e+08
3.708542713567839627e-02,1.860137615223203599e+08
3.954773869346733806e-02,1.793205656915032566e+08
4.201005025125628678e-02,1.724245055370089412e+08
4.447236180904522856e-02,1.653588571315715015e+08
4.693467336683417729e-02,1.581583177448410988e+08
4.939698492462311907e-02,1.508617929286699593e+08
5.185929648241206086e-02,1.434986234765218496e+08
5.432160804020100958e-02,1.361064942921901643e+08
5.678391959798995137e-02,1.287175670508008301e+08
5.924623115577890009e-02,1.213641912687293887e+08
6.170854271356784188e-02,1.140792777798915207e+08
6.417085427135678366e-02,1.068877960453686714e+08
6.663316582914573238e-02,9.982372813776203990e+07
6.909547738693466723e-02,9.290833638984990120e+07
7.155778894472361595e-02,8.616878165858393908e+07
7.402010050251256468e-02,7.962569763756421208e+07
7.648241206030149952e-02,7.329842417458997667e+07
7.894472361809044825e-02,6.720681250724434853e+07
8.140703517587939697e-02,6.136423570414174348e+07
8.386934673366834569e-02,5.578619601762517542e+07
8.633165829145728054e-02,5.048134520022642612e+07
8.879396984924622926e-02,4.545951484947134554e+07
9.125628140703517799e-02,4.072660213789590448e+07
9.371859296482411283e-02,3.628623078794139624e+07
9.618090452261306156e-02,3.214108916098664701e+07
9.864321608040201028e-02,2.829039621407461539e+07
1.011055276381909590e-01,2.473140139297094196e+07
1.035678391959798939e-01,2.146267662035432458e+07
1.060301507537688426e-01,1.847483492103690654e+07
1.084924623115577913e-01,1.576253911981999688e+07
1.109547738693467261e-01,1.331692889140749350e+07
1.134170854271356749e-01,1.112747231218739040e+07
1.158793969849246236e-01,9.183221153798874468e+06
1.183417085427135723e-01,7.471673044218827039e+06
1.208040201005025072e-01,5.979900119836376980e+06
1.232663316582914559e-01,4.694283050233051181e+06
1.257286432160804046e-01,3.600583634128781967e+06
1.281909547738693533e-01,2.684364756591478363e+06
1.306532663316583021e-01,1.930828498002542881e+06
1.331155778894472508e-01,1.325153331867089495e+06
1.355778894472361995e-01,8.528772675931813428e+05
1.380402010050251482e-01,4.996134581305447500e+05
1.405025125628140970e-01,2.511830750969788060e+05
1.429648241206030179e-01,9.410299916430977464e+04
1.454271356783919666e-01,1.525993484222589177e+04
1.478894472361809154e-01,2.335732582004893629e+03
1.503517587939698641e-01,4.359684851506774430e+04
1.528140703517588128e-01,1.281863749110742501e+05
1.552763819095477615e-01,2.459466060509324016e+05
1.577386934673367103e-01,3.877474696284126258e+05
1.602010050251256312e-01,5.451185582373416983e+05
1.626633165829145800e-01,7.107612935437690467e+05
1.651256281407035287e-01,8.779339366318701068e+05
1.675879396984924774e-01,1.041165905270100106e+06
1.700502512562814261e-01,1.195389720476664836e+06
1.725125628140703749e-01,1.336812130728158168e+06
1.749748743718593236e-01,1.462309962609202368e+06
1.774371859296482445e-01,1.569376062092686305e+06
1.798994974874371933e-01,1.656393444480669918e+06
1.823618090452261420e-01,1.722506259892926784e+06
1.848241206030150907e-01,1.766838720861745533e+06
1.872864321608040394e-01,1.789857554091701051e+06
1.897487437185929882e-01,1.792156051792649087e+06
1.922110552763819369e-01,1.774525516079389723e+06
1.946733668341708579e-01,1.738382190998957725e+06
1.971356783919598066e-01,1.685704472771434579e+06
1.995979899497487553e-01,1.617901746029641246e+06
2.020603015075377040e-01,1.537344892944493564e+06
2.045226130653266527e-01,1.445949833672992187e+06
2.069849246231156015e-01,1.346011160865528043e+06
2.094472361809045502e-01,1.239839073929496808e+06
2.119095477386934712e-01,1.129405355514150113e+06
2.143718592964824199e-01,1.017052209873636253e+06
2.168341708542713686e-01,9.045766824062790256e+05
2.192964824120603173e-01,7.937811854507602984e+05
2.217587939698492661e-01,6.865513668968060520e+05
2.242211055276382148e-01,5.842005418908713618e+05
2.266834170854271635e-01,4.880931224273779662e+05
2.291457286432160845e-01,3.992428541896292008e+05
2.316080402010050332e-01,3.185402473131900770e+05
2.340703517587939819e-01,2.465935477134157263e+05
2.365326633165829306e-01,1.839374478864726261e+05
2.389949748743718794e-01,1.307044483840872708e+05
2.414572864321608281e-01,8.692149829824366316e+04
2.439195979899497768e-01,5.256981094355846290e+04
2.463819095477386978e-01,2.720574336510919966e+04
2.488442211055276465e-01,1.046715291857635202e+04
2.513065326633165952e-01,1.727617750918109095e+03
2.537688442211055162e-01,2.942623047168208927e+02
2.562311557788944927e-01,5.404725963155531645e+03
2.586934673366834136e-01,1.621922280597797726e+04
2.611557788944723901e-01,3.185175901021974278e+04
2.636180904522613111e-01,5.136705209100544016e+04
2.660804020100502876e-01,7.394258438760552963e+04
2.685427135678392085e-01,9.856908171863338794e+04
2.710050251256281850e-01,1.244369423343874660e+05
2.734673366834171060e-01,1.507121630587410473e+05
2.759296482412060270e-01,1.766675147770119074e+05
2.783919597989950034e-01,2.014736334638480039e+05
2.808542713567839244e-01,2.246427562662631681e+05
2.833165829145729009e-01,2.456299568353315117e+05
2.857788944723618219e-01,2.638688512311840896e+05
2.882412060301507983e-01,2.791920665445214254e+05
2.907035175879397193e-01,2.911739582354981103e+05
2.931658291457286403e-01,2.997175110668517882e+05
2.956281407035176167e-01,3.047186432724936749e+05
2.980904522613065377e-01,3.061738588514155126e+05
3.005527638190955142e-01,3.042269030870679417e+05
3.030150753768844352e-01,2.989730985680277226e+05
3.054773869346734116e-01,2.906526767832601909e+05
3.079396984924623326e-01,2.795156727267671376e+05
3.104020100502512536e-01,2.659188423504669336e+05
3.128643216080402301e-01,2.501790328043726040e+05
3.153266331658291510e-01,2.326494891929514415e+05
3.177889447236181275e-01,2.138569171640420973e+05
3.202512562814070485e-01,1.940588314353028254e+05
3.227135678391960250e-01,1.737646021895947342e+05
3.251758793969849459e-01,1.533445493035053951e+05
3.276381909547738669e-01,1.331052251449676696e+05
3.301005025125628434e-01,1.135149239656388963e+05
3.325628140703517643e-01,9.478256621041308972e+04
3.350251256281407408e-01,7.729589836746000219e+04
3.374874371859296618e-01,6.123275231450239517e+04
3.399497487437186383e-01,4.682945067306510464e+04
3.424120603015075592e-01,3.423331500897207297e+04
3.448743718592964802e-01,2.357451184723463666e+04
3.473366834170854567e-01,1.488123268759232451e+04
3.497989949748743777e-01,8.236801679904121556e+03
3.522613065326633541e-01,3.577721508843354059e+03
3.547236180904522751e-01,8.663164931423325470e+02
3.571859296482412516e-01,1.000000000000000056e-01
3.596482412060301725e-01,8.501231642109810309e+02
3.621105527638190935e-01,3.264921740285843953e+03
3.645728643216080700e-01,7.064893418735318846e+03
3.670351758793969910e-01,1.206381021716031682e+04
3.694974874371859674e-01,1.802184756105270208e+04
3.719597989949748884e-01,2.472684196486244036e+04
3.744221105527638649e-01,3.198008492525422844e+04
3.768844221105527859e-01,3.953972576162459154e+04
3.793467336683417068e-01,4.719501184788119281e+04
3.818090452261306833e-01,5.470914363054034038e+04
